Incident energy;
Incident energy;
Incident energy;?(E)
5.450538;0.004012995
5.47425;0.00460344
5.497963;0.00535742
5.509819;0.005816072
5.521675;0.006344365
5.533532;0.006957606
5.545388;0.007675339
5.557244;0.008523388
5.5691;0.00953631
5.581698;0.01084677
5.594295;0.01247898
5.606893;0.01455649
5.613192;0.01581881
5.61949;0.0172729
5.625789;0.01896318
5.632088;0.02094655
5.638387;0.0232974
5.644685;0.02611212
5.650984;0.02951696
5.657282;0.03367127
5.663581;0.03877829
5.669879;0.04508451
5.676178;0.05288758
5.682477;0.06252482
5.688776;0.07436318
5.695074;0.0887701
5.701373;0.1060841
5.707671;0.1265452
5.71397;0.150255
5.720268;0.1770841
5.728049;0.2139232
5.735829;0.2534732
5.74361;0.2935791
5.75139;0.3314612
5.757218;0.3565394
5.763045;0.37737
5.768873;0.3928357
5.7747;0.4020607
5.78;0.4045796
5.78795;0.3976685
5.794538;0.3827432
5.801126;0.3606222
5.807714;0.332852
5.814301;0.3012456
5.825219;0.2453565
5.836136;0.1914377
5.841595;0.1669038
5.847053;0.1445378
5.852512;0.1245271
5.85797;0.1069292
5.86261;0.09381722
5.86725;0.08231194
5.87189;0.07229428
5.87653;0.06362695
5.88117;0.05616463
5.88581;0.04976197
5.89045;0.04427963
5.895089;0.03958922
5.899729;0.03557183
5.904369;0.03212514
5.909009;0.02915931
5.913648;0.02659793
5.918288;0.02437486
5.922928;0.02243616
5.932207;0.01923871
5.940395;0.01699501
5.948583;0.01515384
5.956771;0.0136212
5.964959;0.01232926
5.973147;0.01122829
5.981335;0.01028116
5.989523;0.009459657
5.99771;0.008742037
6.014086;0.007553001
6.030462;0.006614427
6.046838;0.005860947
6.063213;0.005248304
6.078497;0.004776111
6.093781;0.00438146
6.109065;0.00405096
6.124349;0.003774762
6.139633;0.003545828
6.154917;0.003359539
6.170201;0.003213631
6.185485;0.003108536
6.202953;0.003044042
6.211687;0.003038495
6.22042;0.003055301
6.230792;0.003112194
6.241163;0.003223152
6.246349;0.003305583
6.251535;0.003410828
6.256721;0.003543513
6.261906;0.00370912
6.267092;0.003914171
6.272278;0.004166025
6.277464;0.004472894
6.282649;0.004843517
6.287835;0.005287103
6.29302;0.005812263
6.298206;0.006427016
6.303391;0.007137123
6.308577;0.007946074
6.313763;0.008853163
6.324134;0.01093453
6.344877;0.0156462
6.355794;0.01788152
6.361846;0.01887248
6.367897;0.01961513
6.373949;0.02006665
6.38;0.02019975
6.38868;0.01982223
6.39736;0.0188202
6.404077;0.0176878
6.410793;0.01632509
6.424225;0.01324295
6.436418;0.01046406
6.442514;0.009197702
6.44861;0.008049758
6.454706;0.007033543
6.460802;0.006152788
6.466898;0.005403681
6.472994;0.004777066
6.477059;0.004421247
6.481123;0.004110382
6.485187;0.003840197
6.489251;0.003606582
6.493315;0.003405614
6.497379;0.003233649
6.501443;0.003087381
6.505507;0.002963868
6.513635;0.002775282
6.521763;0.002652038
6.529891;0.002584112
6.538019;0.002566862
6.544115;0.002587235
6.550211;0.002638206
6.556307;0.00272328
6.562403;0.002847491
6.568499;0.003017344
6.574595;0.003240663
6.580691;0.003526286
6.586787;0.003883544
6.593392;0.004361961
6.599996;0.004944668
6.6066;0.005637656
6.613204;0.006440945
6.619808;0.007346526
6.626412;0.00833664
6.63962;0.01044632
6.651812;0.01229067
6.658859;0.01317742
6.665906;0.0138549
6.672953;0.01427278
6.68;0.01439852
6.685015;0.01430339
6.69003;0.01405803
6.70006;0.01315907
6.710114;0.0118287
6.720167;0.01024745
6.73022;0.008599917
6.740273;0.00704094
6.749869;0.005731508
6.754667;0.005157961
6.759465;0.004641431
6.764263;0.00418143
6.769061;0.003775838
6.773859;0.003421336
6.778657;0.003113799
6.783455;0.002848652
6.788253;0.002621164
6.793051;0.002426675
6.797849;0.002260765
6.807445;0.001998812
6.81704;0.001807832
6.824352;0.001696895
6.831663;0.001608229
6.846285;0.001478439
6.860908;0.001391272
6.87553;0.001331845
6.890153;0.001291866
6.904775;0.001266607
6.93402;0.001250655
6.95504;0.001264358
6.97606;0.001300146
6.99708;0.001363365
7.0181;0.001466559
7.02861;0.001540983
7.03912;0.001638282
7.04963;0.001768004
7.06014;0.00194429
7.07065;0.002187142
7.075905;0.002341541
7.08116;0.002522934
7.086415;0.002735393
7.09167;0.002983062
7.096925;0.003269918
7.102179;0.003599407
7.108577;0.004062087
7.114974;0.004594223
7.121372;0.005194517
7.127769;0.005856503
7.153358;0.008800298
7.160669;0.009577381
7.16798;0.01024388
7.17799;0.01090262
7.188;0.01120182
7.19801;0.01111816
7.20802;0.01068716
7.217102;0.01006775
7.226183;0.009322682
7.235264;0.008548766
7.244345;0.007837749
7.250399;0.007438011
7.256453;0.007120629
7.262507;0.006902103
7.270832;0.006789786
7.279156;0.006928927
7.283319;0.007105555
7.287481;0.007361538
7.291643;0.007704101
7.295805;0.008141554
7.299968;0.008683572
7.30413;0.009340687
7.308292;0.01012502
7.312454;0.01104964
7.316616;0.01212844
7.320778;0.01337574
7.32494;0.01480579
7.329102;0.01643214
7.334778;0.01898794
7.340454;0.02195401
7.34613;0.02534073
7.351805;0.02914033
7.363156;0.03783996
7.374507;0.04750726
7.385102;0.05655627
7.395696;0.0645789
7.402022;0.06843164
7.408348;0.0713283
7.414674;0.07310922
7.421;0.07367392
7.428219;0.07279537
7.435438;0.07036151
7.4444;0.06545484
7.453361;0.05896266
7.471284;0.04378772
7.484215;0.03319963
7.49068;0.0284822
7.497145;0.02426304
7.50361;0.02057544
7.510075;0.01741875
7.51654;0.01476688
7.523005;0.01257694
7.526885;0.01146301
7.530764;0.01048521
7.534643;0.009631496
7.538522;0.008890572
7.542402;0.008251643
7.546281;0.007705251
7.55016;0.007242401
7.554039;0.006855308
7.561798;0.006282434
7.569556;0.005944985
7.577314;0.005815471
7.585072;0.005877668
7.591538;0.006069292
7.598003;0.006383907
7.604468;0.006817065
7.610933;0.007361666
7.617399;0.008006386
7.623864;0.008733923
7.636794;0.01033716
7.648862;0.01181407
7.66093;0.01300977
7.670965;0.01361503
7.681;0.01376221
7.688304;0.0135592
7.695607;0.01310443
7.70291;0.01242644
7.710213;0.01156846
7.719355;0.01032153
7.733068;0.008314228
7.746781;0.006421648
7.753638;0.005586467
7.760494;0.004844388
7.767351;0.004199425
7.774207;0.003649778
7.781064;0.003188804
7.78792;0.002807358
7.794777;0.002494713
7.801633;0.002240158
7.80849;0.002033429
7.815346;0.001865492
7.822203;0.001728515
7.829059;0.001616103
7.835916;0.001523038
7.842772;0.001445256
7.856485;0.001323506
7.870198;0.001233292
7.883911;0.001164307
7.89991;0.0011026
7.915909;0.001055638
7.947906;9.93008E-4
7.979903;9.610423E-4
8.0119;9.548452E-4
8.031327;9.641117E-4
8.050754;9.848709E-4
8.070181;0.00101989
8.089607;0.001074124
8.099321;0.001111063
8.109034;0.001156794
8.118748;0.001213925
8.128461;0.00128623
8.138175;0.001379302
8.147888;0.001501349
8.152745;0.00157682
8.157601;0.001664394
8.162458;0.001766423
8.167314;0.001885583
8.1716;0.002007515
8.175885;0.002147692
8.180171;0.002308921
8.184456;0.002494135
8.188742;0.002706665
8.193027;0.002949843
8.197312;0.003227263
8.201597;0.003542493
8.205883;0.003899089
8.210168;0.0043001
8.214453;0.004748394
8.218738;0.005246144
8.227309;0.006394475
8.235879;0.007741761
8.245021;0.009368585
8.254163;0.01112617
8.272447;0.01459943
8.281589;0.01604124
8.287442;0.01677156
8.293295;0.01731425
8.299148;0.01764587
8.305;0.01775192
8.313243;0.01751218
8.321485;0.01683996
8.328262;0.01600369
8.335038;0.01496177
8.34859;0.01248642
8.360965;0.0100913
8.37334;0.007866436
8.379528;0.006878355
8.385715;0.005990807
8.391903;0.005208139
8.39809;0.00452975
8.404587;0.003923896
8.411084;0.003418003
8.417581;0.003000759
8.424078;0.002660075
8.430575;0.002384039
8.437072;0.002161579
8.443569;0.001982845
8.450065;0.001839398
8.456562;0.001724139
8.463059;0.001631346
8.469556;0.001556424
8.476053;0.001495755
