incident energy,cross_section
34.06243,0.1143704
34.11718,0.1047797
34.17192,0.09650141
34.25404,0.08601611
34.33616,0.07732579
34.41828,0.07005404
34.5004,0.0639245
34.58252,0.05871325
34.66464,0.05424593
34.82888,0.04703257
34.99312,0.04151599
35.15735,0.0372399
35.37634,0.03284379
35.58379,0.02963272
35.79123,0.02711728
35.99868,0.02511356
36.20612,0.02349518
36.41357,0.02217425
36.62101,0.02109436
37.03589,0.01942961
37.40328,0.01841137
37.77067,0.0175991
38.13806,0.01699481
38.50545,0.01658342
39.24023,0.01608185
39.975,0.01596264
40.85094,0.01626215
41.72688,0.01708454
42.16485,0.0177617
42.60282,0.01870301
43.04079,0.02000792
43.47875,0.02183727
43.74218,0.0233127
44.0056,0.02519916
44.19166,0.02686174
44.37772,0.02890142
44.56378,0.03142716
44.74983,0.03460675
44.93589,0.03868672
45.12194,0.04398578
45.23823,0.04817708
45.35451,0.05333278
45.4708,0.05973468
45.58708,0.06780883
45.68011,0.07589559
45.77314,0.08593196
45.86617,0.09857744
45.91269,0.1061679
45.9592,0.1148221
46.00572,0.1247713
46.05223,0.1362982
46.10747,0.1525453
46.16271,0.172331
46.21795,0.1967646
46.27318,0.227437
46.3008,0.2458186
46.32842,0.2667419
46.35604,0.290719
46.38365,0.3183974
46.41127,0.3506558
46.43889,0.3886306
46.46651,0.4338903
46.49412,0.4886418
46.52465,0.5643521
46.53991,0.6102818
46.55517,0.6633833
46.57044,0.725682
46.5857,0.799883
46.60096,0.8899776
46.61622,1.001595
46.63149,1.142828
46.64675,1.324736
46.65438,1.435641
46.66201,1.562988
46.66964,1.709614
46.67727,1.878793
46.6849,2.074279
46.69253,2.300343
46.70016,2.561811
46.70779,2.864089
46.71542,3.213178
46.72305,3.615676
46.73068,4.078763
46.73831,4.610162
46.74595,5.218927
46.75358,5.912071
46.76121,6.699203
46.76884,7.5893
46.77648,8.592654
46.78411,9.715248
46.79174,10.96636
46.79937,12.35318
46.80701,13.88383
46.81464,15.55886
46.8299,19.3564
46.84516,23.74135
46.86042,28.66295
46.8924,40.19933
46.92437,51.8965
46.94327,57.93491
46.96216,62.68835
46.97669,65.19569
46.98835,66.37377
47,66.75994
47.01532,66.04435
47.03098,63.92711
47.04664,60.55004
47.06994,53.67813
47.09324,45.42038
47.1311,31.4842
47.15003,25.15455
47.16896,19.60615
47.17843,17.16332
47.1879,14.94956
47.19737,12.96279
47.20683,11.19789
47.2163,9.640443
47.22576,8.28025
47.23523,7.098995
47.24469,6.082647
47.25416,5.212097
47.26363,4.471702
47.2731,3.845294
47.28256,3.318187
47.29203,2.875282
47.30149,2.504884
47.31096,2.194952
47.32042,1.936282
47.32843,1.750695
47.33644,1.590988
47.34445,1.453268
47.35246,1.334177
47.36047,1.230839
47.36848,1.140805
47.3845,0.9926741
47.40052,0.8768387
47.41654,0.7842285
47.43256,0.708551
47.44858,0.6454535
47.4646,0.591913
47.48062,0.5458073
47.51266,0.4702436
47.5447,0.4108006
47.57673,0.3628554
47.60004,0.3334544
47.62334,0.3077596
47.66994,0.2650939
